clip,title,prompt
11,"""I'm the best""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ParqueLuzagua — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella. Shot/lens: medium on @Stella, half-turned over her shoulder. Camera: light handheld follow. Light: warm day. Action: @Stella, running backward, grins at her mother, cocky and sweet. Dialogue (@Stella): ""I'm the best in my class, Mom. I'll make you proud."" Mood: youthful confidence. Audio: SFX only — footsteps, breeze, faint Gix chime. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
12,la sombra del mecha,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ParqueLuzagua — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella. Props: @MechaFlores — colossal ancient war mecha overgrown with flowers. Shot/lens: wide; a huge shadow falls over @Stella as she stops. Camera: slow push as the shadow swallows her. Light: sun behind the mecha, long shadow cast forward. Action: @Stella halts; a vast shadow covers her — reveal the towering flower-covered @MechaFlores. Mood: awe. Audio: SFX only — wind through metal and flowers, birds. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
13,contrapicado bajo el gigante,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ParqueLuzagua — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella. Props: @MechaFlores filling the sky behind her. Shot/lens: low-angle wide (contrapicado), wide lens; @Stella tiny in the lower frame, dwarfed by the giant. Camera: slow tilt-up + gentle push-in. Light: warm golden hour, god-rays through the mecha's flowers, dust motes. Action: @Stella cranes her neck up at the dormant giant, small and curious, and speaks aloud. Dialogue (@Stella): ""Why did we stop conquering?"" Mood: wonder, the calm before tragedy. Audio: SFX only — soft breeze, distant luzagua, rustling flowers. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
14,"""we wanted it all""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ParqueLuzagua — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera, @Stella. Shot/lens: two-shot, @Vera crouching to @Stella's height. Camera: slow push to a tender medium. Light: warm golden hour. Action: @Vera kneels to her daughter's level, serious for the first time. Dialogue (@Vera): ""That's not as romantic as it sounds. We wanted it all… and almost ended up with nothing."" Mood: tender, foreboding. Audio: SFX only — breeze, distant water. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
15,"""a person is a river""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ParqueLuzagua — match its architecture, materials, colors; lush, detailed, painterly background. The luzagua river beside them. Characters: @Vera, @Stella. Shot/lens: medium two-shot; @Vera gestures to the river. Camera: slow dolly linking their faces to the flowing water. Light: warm, glowing river light on them. Action: @Vera points to the river as she gives the law of their people. Dialogue (@Vera): ""A person is a river, Stella. Keep it all for yourself and you rot. And you rot all of us."" Mood: the thematic heart, gentle but heavy. Audio: SFX only — flowing luzagua, soft wind. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
16,"""I'm going for your sister""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ParqueLuzagua — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera, @Stella, @Gix. Shot/lens: medium that ends holding on @Vera alone, watching @Stella run off. Camera: static settle on @Vera's fond, faintly sad face. Light: warm golden hour. Action: @Stella is already distracted chasing @Gix; @Vera smiles, a little sad, and lets her go. @Stella shouts back as she runs. Dialogue (@Vera): ""I'm going for your sister. See you home for dinner."" — (@Stella, off): ""Tell Selka I beat Gix!"" Mood: the last good day — only we know it. Audio: SFX only — fading laughter, breeze. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
17,establishing del laboratorio,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Cool, clean naiel lab; holographic data; organic-tech surfaces — a stark contrast to the warm park. Shot/lens: wide establishing of the lab interior. Camera: slow drift revealing the space and the floating data. Light: cool blue-white, clinical. Action: the cold heart of the story is introduced — quiet, tense, wrong. Mood: unease, clinical dread. Audio: SFX only — soft electronic hums, holographic blips. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
18,Stella entra riendo,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella, @Gix. Shot/lens: medium on the door as @Stella enters. Camera: follow her in a step. Light: cool lab light replacing the warm park. Action: the door opens; @Stella walks in still laughing, @Gix circling her. Mood: warmth about to be extinguished. Audio: SFX only — door, fading laugh, lab hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
19,la risa se apaga,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella (foreground), @Vera and @Naio (grave, at the projection). Shot/lens: over-shoulder from @Stella to her grim parents. Camera: slow push as her smile dies. Light: cold, the projection underlighting the parents. Action: @Stella's laughter fades as she reads the dread on @Vera and @Naio's faces. Mood: the floor dropping out. Audio: SFX only — the laugh cutting to silence, low hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
20,insert: la proyección,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. A holographic projection showing the descent into the dead hollow core of @Erdia. Shot/lens: tight insert on the projection. Camera: slow push into the hologram of the dead core. Light: the hologram's cold glow. Action: the projection shows the planet's dying heart — the stakes, visualized. Mood: clinical horror. Audio: SFX only — holographic tones, a faint dead heartbeat. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
21,"""everything okay?""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella, @Naio. Shot/lens: two-shot; @Naio hands her a suit. Camera: steady, intimate. Light: cool clinical. Action: @Stella, worried, begins putting on the suit @Naio gives her. Dialogue (@Stella): ""Is everything okay?"" — (@Naio): ""Put it on. Quickly."" Mood: rising fear. Audio: SFX only — suit fasteners, hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
22,"""the King isn't protecting us""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Naio, @Stella. Shot/lens: close two-shot, @Naio leaning in low. Camera: slow push to @Naio. Light: cold, half his face in shadow. Action: @Naio speaks low, like a forbidden confession. Dialogue (@Naio): ""Listen to me. The King isn't protecting us."" Mood: conspiratorial dread. Audio: SFX only — quiet hum, his low voice. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
23,"""it's dying""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. The dead-core projection behind him. Characters: @Naio, @Stella. Shot/lens: medium, @Naio against the projection. Camera: subtle push. Light: cold, projection glow behind. Action: @Naio delivers the truth; @Stella reels. Dialogue (@Naio): ""He's eating the planet from the inside. And it's dying."" Mood: devastating revelation. Audio: SFX only — low hum, dead heartbeat under. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
24,"""that's why he wants it""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella, @Naio. Shot/lens: shot-reverse between them. Camera: steady. Light: cool. Action: @Stella protests in disbelief; @Naio answers grimly. Dialogue (@Stella): ""That's not possible — the Orb gives life to everything."" — (@Naio): ""That's why he wants it."" Mood: dawning horror. Audio: SFX only — hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
25,la máquina sobre la mano,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella, @Naio. Props: @LlaveDeLuz forming in her palm. Shot/lens: tight on @Stella's open hand under a device. Camera: slow push to the hand. Light: the device's light glowing on her palm. Action: @Naio activates a machine over @Stella's open hand; a glowing key-sigil burns under her skin; she winces. Mood: ritual, sacrifice. Audio: SFX only — a rising tone, a soft sizzle, her sharp breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
26,primerísimo plano: la llave,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella (hand). Props: @LlaveDeLuz — glowing key-sigil under the skin of her palm. Shot/lens: extreme close-up on the palm. Camera: micro push, the sigil pulsing. Light: soft inner glow from the sigil. Action: the @LlaveDeLuz pulses gently beneath her skin — the lock that defines everything. Mood: intimate, fateful. Audio: SFX only — a soft pulsing tone. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
27,"""only our family can touch it""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Naio, @Stella. Shot/lens: close, @Naio holding her hand closed. Camera: steady intimate. Light: cool with the sigil's warm glow between their hands. Action: @Naio closes her fingers over the sigil and explains. Dialogue (@Naio): ""The Orb is our blood, Stella. Only our family can touch it."" Mood: solemn. Audio: SFX only — quiet hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
28,"""only you could ever use it""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Naio, @Stella. Shot/lens: close on @Stella's eyes as it lands. Camera: slow push to her face. Light: cool, eyes catching light. Action: @Naio looks her dead in the eyes; the weight settles on @Stella. Dialogue (@Naio): ""Once it's inside you, only you could ever use it. No one else."" Mood: fateful, heavy. Audio: SFX only — hum, a held breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
29,la bebé llora,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @SelkaBebe (crying in a floating cradle), @Stella moving to her. Shot/lens: medium; @Stella crosses to the cradle. Camera: follow her to the baby. Light: cool, softening near the cradle. Action: @SelkaBebe wakes and cries; @Stella drops everything and goes to her, big-sister instinct. Mood: tenderness amid dread. Audio: SFX only — baby crying, soft footsteps. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
30,EL JUEGO DE LA LUZ (semilla),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella, @SelkaBebe, @Gix. Shot/lens: intimate close two-shot, the sisters' faces. Camera: slow gentle push. Light: warm glow from Gix's spark, the one warm light in the cold lab. Action: @Stella cups her palm; a spark of @Gix dances in it like a firefly; she presses her forehead to the baby's; @SelkaBebe calms. This gesture is the seed that pays off at the climax. Mood: pure love, fragile. Audio: SFX only — soft chime, the baby quieting, a breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
31,la sonrisa de las hermanas (sostenida),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella, @SelkaBebe. Shot/lens: sustained tender close-up of both sisters smiling, foreheads together. Camera: held, almost still. Light: warm Gix glow on their faces. Action: the two sisters smile at each other — the image to remember; it returns at the throne. Mood: the heart of the film, held a beat too long. Audio: SFX only — a soft warm chime, quiet. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
32,pasos acercándose,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Naio, @Vera. Shot/lens: medium; the parents' heads turn toward the door. Camera: snap of tension, slight push to the door. Light: cold; a shadow shifting at the corridor. Action: approaching footsteps; @Naio and @Vera exchange a look — time's up. Mood: dread spiking. Audio: SFX only — approaching boots, the hum darkening. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
33,"""never let him have it"" + abrazo","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Naio, @Stella, @Vera, @SelkaBebe. Shot/lens: close family huddle, hands on faces. Camera: intimate, slight handheld. Light: cold around a pocket of warmth. Action: @Naio grips @Stella's face, urgent; a short three-way embrace. Dialogue (@Naio): ""Take Selka. Go for the Orb. Whatever happens — never let him have it. I'll hold them."" Mood: terror and love. Audio: SFX only — urgent whispers, footsteps closing. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
34,entra Vorthan,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vorthan (friendly smile), @RobotImperial soldiers behind him filling the doorway. Shot/lens: wide low-angle on @Vorthan in the doorway, robots as a shadow behind. Camera: slow push to his calm smile. Light: he is backlit, a silhouette resolving into a smile. Action: the door opens; @Vorthan enters with the warmth of an old friend, soldiers behind. Dialogue (@Vorthan): ""Naio. Old friend. You knew this day would come."" Mood: charming menace. Audio: SFX only — door, heavy robot footsteps, his soft voice. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
35,"Naio derribado / ""DAD!""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Laboratorio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Naio, @Vorthan, @Stella, @Vera. Shot/lens: dynamic wide; @Naio interposes, a force-field flares, @Vorthan strikes him down. Camera: quick whip + push as @Stella screams. Light: the force-field's flash, then cold again. Action: @Naio throws up a force-field; @Vorthan drops him with a single energy strike (no blood); @Vera yanks @Stella away. Dialogue (@Stella): ""DAD!"" Mood: the family shattering. Audio: SFX only — energy field hum, a concussive thud, Stella's scream. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
36,la huida por el pasillo,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PasillosPalacio — match its architecture, materials, colors; lush, detailed, painterly background. Tall golden corridors under red alert glow. Characters: @Vera (carrying @SelkaBebe), @Stella. Shot/lens: tracking wide running toward camera. Camera: fast Steadicam retreat ahead of them. Light: gold washed with pulsing red alarm. Action: @Vera and @Stella sprint, baby clutched to @Vera's chest, robot drones humming behind. Mood: panic, momentum. Audio: SFX only — running, alarm, distant robot hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
37,"""nothing matters more than that Orb""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PasillosPalacio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera, @Stella, @SelkaBebe. Shot/lens: running two-shot, profiles. Camera: lateral tracking with them. Light: red alert wash. Action: @Vera, breathless, lays down the cruel truth as they run. Dialogue (@Vera): ""Nothing matters more than that Orb. Not me. Not your sister."" Mood: brutal love. Audio: SFX only — breathless running, alarm. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
38,"""take care of Selka""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PasillosPalacio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella, @Vera. Shot/lens: close on @Stella's wet eyes, then @Vera's impossible smile. Camera: tight tracking. Light: red wash, eyes shining. Action: @Stella, eyes full, answers; @Vera gives her an impossible, loving smile mid-run. Dialogue (@Stella): ""I understand. Just take care of Selka."" Mood: heartbreak in motion. Audio: SFX only — running, alarm, ragged breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
39,"""get to the ship""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PasillosPalacio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera, @Stella. Shot/lens: running two-shot. Camera: tracking, urgency. Light: red wash. Action: @Vera shouts the plan as they run. Dialogue (@Vera): ""Whatever happens, get to the ship — the exit by the park."" Mood: desperate resolve. Audio: SFX only — running, alarm rising. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
40,pelean avanzando,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PasillosPalacio — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera (one arm shielding @SelkaBebe), @Stella, @RobotImperial drones. Shot/lens: dynamic wide; a wall bursts, robots pour in. Camera: energetic handheld through the fight. Light: sparks and red alarm. Action: a wall explodes; @RobotImperial units attack; @Vera and @Stella fight through while advancing (energy strikes, no firearms). Mood: chaos, forward drive. Audio: SFX only — wall blast, energy clashes, robot servos. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
41,las puertas de la Sala del Orbe,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PasillosPalacio — match its architecture, materials, colors; lush, detailed, painterly background. Huge ornate doors to @SalaDelOrbe at the corridor's end. Characters: @Vera, @Stella. Shot/lens: wide; they reach the towering doors. Camera: push toward the opening doors, a glow spilling out. Light: warm Orb glow leaking from the seam. Action: they reach the great doors of the Orb chamber; light spills through. Mood: threshold, awe. Audio: SFX only — heavy doors, a swelling warm hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
42,establishing de la Sala del Orbe,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Immense cathedral-scale chamber; @Orbe suspended at center, pulsing like a second heart. Props: @Orbe. Shot/lens: vast wide of the chamber and the floating Orb. Camera: slow reverent crane. Light: the Orb bathes the room in warm sacred light. Action: reveal the Orb chamber in its full, holy scale. Mood: sacred, immense. Audio: SFX only — a deep resonant hum, the Orb's pulse. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
43,entran / revelación del Orbe,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaDelOrbe — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera, @Stella. Props: @Orbe. Shot/lens: wide as they burst in, the Orb ahead. Camera: push in with them toward the Orb. Light: Orb glow on their faces. Action: @Vera and @Stella enter; the @Orbe pulses ahead of them. Mood: goal in sight. Audio: SFX only — doors, breathless arrival, Orb hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
