acto,secuencia,clip,tipo,encuadre,camara,accion,dialogo,dur_seg,acumulado
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),19,EMOCIÓN,over-shoulder from @StellaRopa to her grim parents.,a slow push as her smile drains away.,"@StellaRopa's grin fades by degrees as she reads the dread carved into @VeraArmadura and @Naio's faces; @Gix's glow dims and tucks behind her; the laughter dies in her throat, the room suddenly far too quiet.",,11,3:00
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),20,ACCIÓN,tight insert on the rotating hologram.,a slow push into the holographic image of the dead core.,"the projection turns slowly, replaying the plunge into the planet's black empty heart, data-glyphs and warning-reds crawling around the dead core — the unspeakable truth rendered in cold light.",,7,3:07
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),21,ESTÁNDAR,two-shot; @Naio presses a suit into her hands.,"steady, intimate.","@StellaArmadura takes the suit, confusion crossing her face, beginning to pull it on while searching her father's eyes for reassurance that doesn't come; @Naio's reply is clipped, urgent, gentle.",,9,3:16
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),22,ESTÁNDAR,"close two-shot, @Naio leaning in low.",a slow push to @Naio's half-shadowed face.,"@Naio lowers his voice almost to nothing, glancing toward the door, and speaks the forbidden thing aloud for the first time, every word costing him.",,9,3:25
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),23,EMOCIÓN,"medium, @Naio against the cold projection.",a subtle push tightening on his face.,"@Naio gestures to the dying planet behind him and lands the truth like a stone; @StellaArmadura's face crumbles into disbelief, her newly-sealed suit suddenly meaningless against words this big.",,11,3:36
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),24,ESTÁNDAR,shot-reverse between their faces.,"steady, cutting closer with each line.","@StellaArmadura protests, shaking her head, clinging to what she was taught; @Naio answers low and grim, the simple cruelty of it landing — the thing that gives life is exactly what the King means to steal.",,9,3:45
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),25,EMOCIÓN,tight on @StellaArmadura's open hand beneath the device.,a slow push to the hand as the light builds.,"@Naio guides @StellaArmadura's open hand under the device; petals of light fold inward and a glowing key-sigil burns itself into the skin of her palm; she sucks in a sharp breath and her fingers twitch, but she holds still, trusting him.",,11,3:56
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),26,EMOCIÓN,extreme close-up of the palm.,"a micro push, the sigil pulsing under the skin.","the @LlaveDeLuz pulses gently beneath @StellaArmadura's skin like a second small heart, light threading along faint veins — the quiet, fateful lock that the whole story will turn on, shown in a single held breath.",,11,4:07
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),27,EMOCIÓN,"close, @Naio folding her fingers shut over the sigil.","steady, intimate.","@Naio closes @StellaArmadura's fingers gently over the glowing mark and holds her fist in both of his, explaining the bond in a low, careful voice that makes it sound less like science and more like a vow.",,11,4:18
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),28,EMOCIÓN,close on @StellaArmadura's eyes as the weight lands.,a slow push to her face.,"@Naio holds her gaze without blinking, pressing the truth into her like a seal; @StellaArmadura's eyes widen as the size of it settles — she is not just carrying the Orb, she is the only one who can ever wield it.",,11,4:29
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),29,EMOCIÓN,medium; @StellaArmadura crosses to the cradle.,"a follow to the baby, the tension momentarily breaking.","@SelkaBebe stirs and breaks into a thin cry; without a thought @StellaArmadura abandons the gravity of the moment and goes straight to her little sister, the older-sister instinct overriding everything else in the room.",,11,4:40
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),30,EMOCIÓN,intimate close two-shot of the sisters' faces.,"a slow, gentle push.","@StellaArmadura cups her palm and a spark of @Gix drops into it, dancing like a captured firefly; she leans down and presses her forehead softly to the baby's, and both sisters smile — the crying stops. This exact gesture is the seed that detonates at the climax; render it clearly and warmly.",,11,4:51
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),31,EMOCIÓN,"sustained tender close-up, foreheads together, both smiling.","nearly still, barely breathing.","the camera holds — too long, on purpose — on the two sisters smiling forehead to forehead, the baby's small hand reaching for Stella's nose; the single image the entire film will ask us to remember.",,11,5:02
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),32,EMOCIÓN,medium; the parents' heads snap toward the door.,a sharp tension-push toward the door and the moving shadow.,"the warmth shatters as heavy approaching footsteps echo down the corridor; @Naio and @VeraArmadura exchange one fast, wordless look that says the time they were dreading has arrived.",,11,5:13
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),33,EMOCIÓN,"close family huddle, hands gripping faces and shoulders.","intimate, a slight nervous handheld.","@Naio takes @StellaArmadura's face in both hands, fierce and fast, pressing the command into her; the four of them fold into one brief, crushing embrace, @SelkaBebe pressed between them, before they break apart with the footsteps almost at the door.",,11,5:24
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),34,ESTÁNDAR,"wide low-angle on @Vorthan in the doorway, the robots as a dark mass behind.","a slow push to his calm, friendly smile.","the door opens and @Vorthan steps in with the easy warmth of a family friend dropping by, spreading his hands, the faceless @RobotImperial units filling the frame behind him — menace dressed as affection.",,9,5:33
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),35,ACCIÓN,"dynamic wide; @Naio steps between them, a shield flares, @Vorthan strikes him down.",a quick whip-pan and push as @StellaArmadura screams.,"@Naio throws himself forward and snaps up a crackling force-field to buy seconds; @Vorthan, almost gently, swats it apart and drops @Naio with a single pulse of energy (no blood, no wound); @StellaArmadura lunges with a scream as @VeraArmadura hauls her bodily toward the back exit.",,7,5:40
ACTO 1,4 — ESCENA: Pasillos del palacio (la huida),36,ACCIÓN,"tracking wide, the two running straight toward camera.",a fast Steadicam retreat ahead of them down the corridor.,"@VeraArmadura and @StellaArmadura sprint down the grand corridor, @SelkaBebe clutched tight to Vera's chest, banners and gilded arches flashing past in pulses of red, the low hum of robot drones swelling somewhere behind them.",,7,5:47
ACTO 1,4 — ESCENA: Pasillos del palacio (la huida),37,ESTÁNDAR,"running two-shot, profiles side by side.",lateral tracking locked to them.,"@VeraArmadura, breathless and fierce, turns her head to @StellaArmadura mid-stride and lays down the brutal law of the night — the Orb above all, above even the people running beside her — the words landing harder than the alarm.",,9,5:56
ACTO 1,4 — ESCENA: Pasillos del palacio (la huida),38,ACCIÓN,"close on @StellaArmadura's wet eyes, cutting to @VeraArmadura's impossible smile.",tight tracking on their faces.,"@StellaArmadura answers through brimming tears, jaw set; @VeraArmadura meets her with a smile that has no business existing in this moment — a mother's reassurance offered while sprinting for their lives.",,7,6:03
ACTO 1,4 — ESCENA: Pasillos del palacio (la huida),39,EMOCIÓN,"running two-shot, Vera pointing ahead.",tracking with urgency.,"@VeraArmadura flings out an arm toward a far junction as they run, shouting the escape plan over the rising alarm, her certainty the only thing holding the moment together.",,11,6:14
ACTO 1,4 — ESCENA: Pasillos del palacio (la huida),40,ACCIÓN,"dynamic wide; a wall explodes, robots flood in.",energetic handheld weaving through the fight.,"a wall blows inward and faceless @RobotImperial units swarm; @VeraArmadura fights one-armed with the baby pinned to her chest while @StellaArmadura ducks and strikes with quick agile bursts (energy and motion, no firearms), the two carving a desperate path forward through the chaos.",,7,6:21
ACTO 1,4 — ESCENA: Pasillos del palacio (la huida),40A,ACCIÓN·insert,dynamic action wide tracking her through the fight.,fast handheld + whip-pan following the redirect.,"@StellaArmadura flips over a lunging @RobotImperial, hooks its arm and redirects its strike into a second unit, then lands in a low crouch, white braid snapping — agile, lethal, fast.",,4,6:25
ACTO 1,4 — ESCENA: Pasillos del palacio (la huida),40B,ACCIÓN·insert,"medium tracking her advance, impact frames.",handheld punching in on each hit.,"@VeraArmadura, the baby clamped to her chest with one arm, drives an energy-charged palm into a robot's core; it folds; the corridor strobes red with each impact as she carves a path forward.",,4,6:29
ACTO 1,4 — ESCENA: Pasillos del palacio (la huida),41,ESTÁNDAR,wide; the two reach the towering doors.,a push toward the opening doors and the warm glow spilling out.,"@VeraArmadura and @StellaArmadura skid up to the colossal doors of the Orb chamber; the doors part with a deep resonant groan and a flood of warm sacred light pours over their faces — the goal, finally in reach.",,9,6:38
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),42,ESTABLISHING,vast wide of the chamber and the floating Orb.,a slow reverent crane up and forward across the mirror-floor.,"the camera glides into the immense holy chamber, the mirrored floor doubling everything, and rises toward the @Orbe hanging weightless at the center — a sphere of liquid light slowly turning, exhaling rings of glow across the arches with each pulse, dwarfing the tiny figures entering below.",,12,6:50
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),43,ESTÁNDAR,"wide as they burst in, the Orb framed ahead.",a push-in with them toward the sphere.,"@VeraArmadura and @StellaArmadura stumble through the great doors into the radiance, the @Orbe pulsing ahead of them like a second sun; for a breath the chaos behind is forgotten in the sheer presence of the thing they came to save.",,9,6:59
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),44,EMOCIÓN,"wide symmetrical; the family at one side, @Vorthan entering opposite, the Orb suspended between.",a slow lateral move holding the standoff.,"across the immense floor, a far door opens and @Vorthan steps in at the very same moment, unhurried, hands folded; the two parties freeze, separated by the glowing Orb — one held, suspended breath before the race detonates.",,11,7:10
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),45,EMOCIÓN,"symmetrical wide composition — @StellaArmadura centered, the @Orbe on one side, her mother on the other; the visual of her impossible choice (duty vs love).","held, balanced, almost motionless.","the staging itself tells it: @StellaArmadura stands dead center of the great hall, the @Orbe glowing to her left, @VeraArmadura to her right, her body torn between the duty her father gave her and the mother she loves — the thematic image of the entire film, held in perfect, terrible balance.",,11,7:21
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),46,ACCIÓN,"@VeraArmadura shouting, snap to @StellaArmadura breaking into a sprint toward the Orb.",a snap-pan from @VeraArmadura to @StellaArmadura exploding into a run.,"@VeraArmadura screams the order and shoves Stella forward; @StellaArmadura bolts across the mirror-floor toward the @Orbe, the standoff shattering into desperate speed.",,7,7:28
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),47,ACCIÓN,"dynamic medium; @VeraArmadura fighting one-armed, the baby shielded against her.",handheld locked to her struggle.,"@RobotImperial units converge on @VeraArmadura; she fights savagely with one arm while the other cradles @SelkaBebe, kicking and twisting to keep the baby clear, unable to follow her daughter across the hall.",,7,7:35
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),47A,ACCIÓN·insert,"medium, she spins inside a ring of robots.","orbiting handheld, whip-pans to each threat.","surrounded, @VeraArmadura spins through the ring of @RobotImperial units — kicking, elbowing, the baby pressed tight; a unit clamps her arm and she wrenches free with a cry, never dropping @SelkaBebe.",,4,7:39
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),47B,ACCIÓN·insert,"wide, she skids across the mirror-floor and rises.","camera drops with her, then snaps up as she plants.","an energy blast skids @VeraArmadura across the mirror-floor; she is already scrambling up, planting herself again between the machines and the baby's niche, teeth bared, refusing to stay down.",,4,7:43
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),48,ACCIÓN,low menacing wide as @S1G1 strides in; cut to @VeraArmadura's dawning realization.,"a slow push to @S1G1's single glowing optic, then to @VeraArmadura's face.","the dark assassin @S1G1 walks in slow and silent where the other robots are loud, its one optic fixing on @VeraArmadura; her face changes as she understands — this is not a fight to win, it is an execution sent for her.",,7,7:50
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),49,EMOCIÓN,"medium; @VeraArmadura tucks the baby into a safe niche, then turns and plants her stance.",a settle as she squares up.,"@VeraArmadura kisses @SelkaBebe's forehead and tucks her deep into a recessed panel, out of the line of danger, then rises and turns to face @S1G1 alone, planting her feet between the machine and her child.",,11,8:01
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),50,ACCIÓN,"dynamic combat wide; @VeraArmadura gives everything, @S1G1 overpowers her.","kinetic handheld through the exchange, then a hard beat as she's struck down.","@VeraArmadura throws herself at @S1G1 with everything she has — strikes, a snatched weapon, raw desperation — but the machine is faster and stronger; with a single sweeping energy-wave it knocks her off her feet and she crashes to the mirror-floor, unhurt-looking but beaten.",,7,8:08
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),50A,ACCIÓN·insert,"tight combat, her three strikes landing.",handheld pushing in with each blow.,"@VeraArmadura lands three blistering strikes on @S1G1, driving it back a full step — for one impossible beat she is winning; her face flares with ferocious hope.",,4,8:12
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),50B,ACCIÓN·insert,"tight, S1G1 catches her wrist and flurries.",whip-pan + snap-zoom on the reversal.,"@S1G1 reads her, catches her wrist mid-swing and unleashes a blinding flurry; @VeraArmadura blocks on pure instinct, losing ground, her hope curdling into grim survival.",,4,8:16
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),51,ESTÁNDAR,"low on @VeraArmadura fallen, reaching out, the baby's niche beyond.",a push to her face as she screams.,"sprawled on the floor, @VeraArmadura shoves herself up on one arm, flinging the other toward her daughter across the hall, and screams with everything left in her — the command and the goodbye fused into one word.",,9,8:25
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),52,ACCIÓN,"@StellaArmadura three steps from the Orb, hand outstretched — then she turns back toward her mother.","a held beat on the reaching hand, then a whip as she reverses.","@StellaArmadura's fingers are a breath from the @Orbe, its light flooding her hand — and then she looks back, sees her mother down and her sister's niche, and turns away from the Orb entirely, sprinting back toward @VeraArmadura, breaking the one rule her father gave her for the love she can't override.",,7,8:32
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),53,ACCIÓN,@Vorthan catches @StellaArmadura by her long braid and lifts her dangling.,"a push to his cruel calm, then down to her kicking feet.","@Vorthan's hand closes around @StellaArmadura's long white braid and hoists her off the floor, leaving her swinging and clawing at the air; he studies her struggle with serene, almost affectionate cruelty and speaks softly.",,7,8:39
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),53A,ACCIÓN·insert,extreme insert + impact frame on the braid snapping taut.,"whip-pan as her head wrenches back, boots leaving the floor.","@Vorthan's fist snaps @StellaArmadura's braid taut; her head wrenches back, strands tearing loose, her boots lifting off the floor — a single brutal impact frame of helpless force.",,4,8:43
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),54,ACCIÓN,"tight close-up of @StellaArmadura's face, hung by the hair, tears flying, unable to break free.",a slow push into her anguish.,"held tight on @StellaArmadura's face — teeth bared, tears torn loose and floating in the charged air, hands wrenching uselessly at the braid that holds her — pure rage and helplessness as she's forced to watch what comes next.",,7,8:50
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),55,ACCIÓN,"wide catching @VeraArmadura's raised hands and the shield around @StellaArmadura, with @S1G1's light-lance descending behind @VeraArmadura; cut to Stella's scream.","a wide that holds the shield and the killing light, then a snap to Stella. Death shown as her vital glow extinguishing — no blood, no wound.","from the floor @VeraArmadura throws her hands up and a warm shield of light wraps protectively around @StellaArmadura; in the same instant, behind her, @S1G1 lowers a lance of light and a single flash passes through @VeraArmadura — her glow goes out like a snuffed flame, no blood, only light leaving her — and @StellaArmadura's scream tears across the hall.",,7,8:57
ACTO 1,5 — ESCENA: La sala del Orbe (la caída de Vera),56,ACCIÓN,fractured intercutting — @VeraArmadura's fading face mouthing a word / @StellaArmadura severing her braid with the light-blade.,"tight intercut, the two actions braided together.","@VeraArmadura, the last of her light guttering out, shapes the word ""Run"" with no breath behind it; above, @StellaArmadura drags the @CuchilloLaser to the nape of her neck and a clean line of white light parts her white braid in a single stroke — the severed plait drifts away as she drops free and the protective shield dies with the last of @VeraArmadura's glow. No blood — only light leaving a body.",,7,9:04
ACTO 1,6 — ESCENA: Toma el Orbe / huida por el ducto,57,ACCIÓN,"tracking @StellaPeloCorto sprinting to the Orb, ducking a robot.",a fast follow weaving with her.,"broken and tear-streaked but moving on instinct, @StellaPeloCorto sprints back across the mirror-floor toward the @Orbe, sliding under a @RobotImperial's grab and scrambling up without breaking stride, eyes locked on the sphere.",,7,9:11
ACTO 1,6 — ESCENA: Toma el Orbe / huida por el ducto,58,EMOCIÓN,"close on her hand closing around the Orb, the palm-key igniting.",a push as the Orb shrinks and pours into her hand.,"@StellaPeloCorto's hand closes around the @Orbe; the @LlaveDeLuz blazes awake in her palm and the great sphere collapses inward, streaming as liquid light into her hand until it pulses there beneath her skin — power and grief sealed together in one stroke.",,11,9:22
ACTO 1,6 — ESCENA: Toma el Orbe / huida por el ducto,59,ACCIÓN,"extreme close-up of the wrist monitor's bar filling to ""MAX"".",a micro push on the readout.,"on @StellaPeloCorto's wrist the @MonitorMAX charge-bar floods from empty to full in a rush of light and locks at MAX, the readout pulsing — the clock that will return at the very end of the film, planted here in a single insert.",,7,9:29
ACTO 1,6 — ESCENA: Toma el Orbe / huida por el ducto,60,ACCIÓN,"low wide; thrusters fire, @StellaPeloCorto launches upward toward the ceiling duct.",a fast tilt-up following her launch into the heights.,"@StellaPeloCorto's suit-thrusters ignite with a roar and she rockets straight up off the floor, threading toward a narrow duct high in the ceiling haze, the great chamber falling away beneath her boots.",,7,9:36
ACTO 1,6 — ESCENA: Toma el Orbe / huida por el ducto,60A,ACCIÓN·insert,vertiginous vertical wide following her launch.,"fast tilt-up, the chamber falling away.","@StellaPeloCorto rockets straight up past the cathedral arches, debris and pollen streaking past the lens, the vast chamber shrinking dizzyingly beneath her boots.",,4,9:40
ACTO 1,6 — ESCENA: Toma el Orbe / huida por el ducto,61,ACCIÓN,"@StellaPeloCorto's POV downward — her fallen mother and the crying baby, tiny and far below.","a held beat, the image burning in before she tears away.","for one suspended second @StellaPeloCorto looks down through the rising air at the small, still shape of her mother on the mirror-floor and the crying baby in the alcove — the last look, the image that will hollow her out for twenty years — then she wrenches her gaze away and dives into the duct.",,7,9:47
ACTO 1,6 — ESCENA: Toma el Orbe / huida por el ducto,62,ACCIÓN,claustrophobic; @S1G1 thrusting up the duct inches from her boots.,a fast forward track through the cramped tunnel.,"@StellaPeloCorto streaks up the narrow duct on her thrusters, walls a blur inches from her shoulders; below and behind, @S1G1's optic burns as it rockets after her, closing the gap until its claw scrapes the air just beneath her boots.",,7,9:54
ACTO 1,6 — ESCENA: Toma el Orbe / huida por el ducto,62A,ACCIÓN·insert,claustrophobic; the claw raking sparks by her boot.,snap-zoom to her face mid-scream.,"@S1G1's claw rakes a shower of sparks off the duct wall a hair from @StellaPeloCorto's boot; snap-zoom to her face mid-scream, the sound swallowed by the thruster roar.",,4,9:58
ACTO 1,6 — ESCENA: Toma el Orbe / huida por el ducto,62B,ACCIÓN·insert,first-person urgency as the duct narrows.,"fast forward-track, walls squeezing in.","the duct narrows hard ahead; @StellaPeloCorto tucks her arms and shoulders tight, metal shrieking inches past her, the strobing light quickening as the tube squeezes down.",,4,10:02
ACTO 1,6 — ESCENA: Toma el Orbe / huida por el ducto,63,ACCIÓN,@S1G1 jams in the narrow opening; sparks; a clean blast hurls @StellaPeloCorto out into daylight.,burst out of the dark tube into bright sky with her.,"@StellaPeloCorto shoots out of the duct mouth into open sky; right behind her @S1G1's larger frame wedges hard in the narrowing opening, throws sparks, and detonates in a clean burst of light and smoke, the shockwave flinging @StellaPeloCorto clear and tumbling into the air.",,7,10:09
ACTO 1,6 — ESCENA: Toma el Orbe / huida por el ducto,63A,ACCIÓN·insert,"tight detail on the wedging frame, optic flaring.","slow push amid fast chaos, then sparks.","@S1G1's bulk wedges in the throat of the duct, joints buckling, its single optic flaring red as it strains after her — sparks crawling up its frame an instant before it goes.",,4,10:13
ACTO 1,6 — ESCENA: Toma el Orbe / huida por el ducto,64,ESTÁNDAR,@Vorthan lifts the baby from the alcove; robots move toward @VeraArmadura's body.,"slow, cold, deliberate.","@Vorthan crosses the great floor and lifts @SelkaBebe gently from her niche; the baby quiets in his arms, grey-blue eyes wide; behind him @RobotImperial units stoop toward @VeraArmadura's still form.",,9,10:22
ACTO 1,6 — ESCENA: Toma el Orbe / huida por el ducto,65,ESTÁNDAR,"@Vorthan halts the robots with a gesture, turns away with the baby, leaving @VeraArmadura behind.","a slow pull-back, leaving @VeraArmadura tiny and alone in the great room.","@Vorthan raises a single hand and the robots freeze over @VeraArmadura's body; without a flicker of feeling he turns and walks out with the baby, his flat order echoing as the camera pulls back to leave @VeraArmadura alone on the immense floor.",,9,10:31
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,66,ACCIÓN,@StellaPeloCorto drops onto @VeraArmadura's hidden ship; trembling hands at the controls.,"tight in the small cockpit, then a jolt of ignition.","@StellaPeloCorto crashes down onto @NaveStella, scrambles into the cockpit and slaps at the controls with shaking, fumbling hands, sobbing once before the engines catch and the canopy seals — survival on raw autopilot.",,7,10:38
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,66A,ACCIÓN·insert,"wide, energy-fire raining as the ship lurches off.","handheld shake, the nook erupting behind.",imperial energy-fire rains on the terrace; @StellaPeloCorto's engines catch and @NaveStella lurches off the landing nook just as it erupts behind her in a clean burst of light.,,4,10:42
ACTO 1,7 — ESCENA: Persecución en el cielo / el sacrificio,67,ACCIÓN,wide; @NaveStella lifts off as the @NaveImperial fleet rises on the horizon.,"rise with the ship, fleet looming beyond.","@NaveStella tears up off the terrace into the open sky; ahead, across the golden horizon, a wall of cold @NaveImperial warships resolves out of the haze and turns toward her — the chase beginning.",,7,10:49
