clip,title,prompt
97,Vosk la encara,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vosk, @StellaPeloCorto. Shot/lens: low on @Vosk blocking her path, huge. Camera: push up to his sneer. Light: he looms over her. Action: @Vosk — big, scarred — steps into her path and looks her up and down, taunting. Dialogue (@Vosk): ""The boss's pet. The bait that breathes."" Mood: menace, provocation. Audio: SFX only — his low voice, crew murmurs. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
98,el primer golpe,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vosk, @StellaPeloCorto. Shot/lens: medium; she slaps his hand away, he grins and swings. Camera: snap-zoom on the first punch. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: harsh, hard shadows. Action: @StellaPeloCorto smacks his prodding hand aside; @Vosk grins — exactly what he wanted — and throws the first heavy punch. Mood: ignition. Audio: SFX only — a slap, a grunt, the swing. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
99,la pelea,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vosk, @StellaPeloCorto. Shot/lens: dirty brawl, dynamic. Camera: fast handheld in the scuffle. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: harsh work-lights. Action: @StellaPeloCorto is fast and slippery but small; @Vosk is a wall — he absorbs her hits, shrugs them off, and slams her back against the bulkhead. Mood: outmatched, scrappy. Audio: SFX only — body blows, grunts, metal clangs. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
99A,Stella aguanta (acción ×2),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @Vosk. Shot/lens: tight, her ducking and countering. Camera: whip-pans tracking her evasions. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: harsh, sweat catching light. Action: @StellaPeloCorto ducks two haymakers and lands a quick three-hit combo on @Vosk's ribs — it barely moves him, but her face is pure refusal-to-quit; he wipes his mouth, almost impressed. Mood: defiance. Audio: SFX only — rapid blows, breath, a surprised grunt. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
99B,Vosk la estrella,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @Vosk. Shot/lens: tight, he hurls her into the lockers. Camera: whip + impact frame, she rolls clear. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: harsh, sparks. Action: @Vosk catches her mid-combo and hurls @StellaPeloCorto into a wall of lockers; she crashes, rolls clear and comes up in a low crouch, breathing hard but unbroken. Mood: outmatched, unbroken. Audio: SFX only — a heavy slam, a roll, ragged breath. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
100,Brog los separa,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Brog, @Vosk, @StellaPeloCorto. Shot/lens: a giant stone hand enters frame and lifts Vosk away. Camera: settle as Brog plants between them — a frame of weight. Light: Brog's bulk blocking the light. Action: a massive stone hand closes on @Vosk's shoulder and peels him off effortlessly; @Brog — a silent rock giant — plants himself between them and simply stands there. Mood: sudden calm, protection. Audio: SFX only — heavy stone footfall, Vosk's grunt. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
101,"Nima (""dos formas de romperse"")","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. A cluttered workbench corner. Characters: @Nima, @StellaPeloCorto, @Brog. Shot/lens: medium on @Nima, four hands working without looking up. Camera: gentle, settling. Light: warm workbench glow. Action: @Nima, four arms busy at once, talks to @StellaPeloCorto without lifting her eyes; @Brog sits down beside the girl in silence. Dialogue (@Nima): ""Don't mind Vosk. He barks so he won't think. Two ways to break, kid — the one that cries, and the one that fixes things at 3am. Guess which I am."" Mood: the first warmth, found family. Audio: SFX only — tools, a soft mechanical hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
102,beat silencioso con Brog,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Brog, @StellaPeloCorto. Shot/lens: two-shot, the small girl beside the rock giant. Camera: still, quiet. Light: soft warm pool. Action: @StellaPeloCorto sits against @Brog's vast stone side; he doesn't comfort her, just stays — and she lets out a long breath, the first thread of belonging. Mood: quiet, tender. Audio: SFX only — distant ship hum, a slow breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
103,la dilatación 1:4,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Theron, @StellaPeloCorto. Shot/lens: close two-shot, the cruel truth landing. Camera: slow push to her face as it sinks in. Light: cold. Action: @Theron tells her the worst part flatly; @StellaPeloCorto's face slowly registers the size of it — every day lost here is four lost at home. Dialogue (@Theron): ""Time doesn't run the same here. One year of yours… is four back home."" Mood: dread, a silent clock. Audio: SFX only — low hum, a held breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
104,establishing Erdia se pudre,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. RÓTULO ERDIA · AÑO 8. The once-golden city greyed by fog and scaffolds, the luzagua canals running thin and dull, mining smoke smudging the sky. Shot/lens: wide establishing of the decaying city. Camera: slow mournful drift over the rot. Light: grey, smoke-filtered, the gold dying. Action: the camera glides over Erdia eight years on — the warm gold gone grey, light-water guttering, machinery and smoke where gardens used to be. Mood: decay, loss. Audio: SFX only — distant machinery, wind, a thin sick hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
104A,la luzagua se apaga,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Shot/lens: detail of a thin grey light-water canal; a ragged child crouched. Camera: slow drift to the dimming water. Light: grey, the gold dying. Action: a once-bright luzagua canal runs thin and grey; a hungry child watches the light gutter — the planet's slow death in one small image. Mood: quiet rot. Audio: SFX only — trickling water, a thin sick hum. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
105,el refugio / Marek,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @RefugioResistencia — match its architecture, materials, colors; lush, detailed, painterly background. A hidden refuge of gaunt naieli gathered by lamplight. Characters: @Marek, resistance (varied, not all white-haired). Shot/lens: warm medium on @Marek among his people. Camera: slow push to his face. Light: low warm lamplight. Action: @Marek — warm-voiced, the kind people follow — speaks to a circle of worn, hungry naieli who hang on his hope. Mood: fragile hope. Audio: SFX only — low voices, a crackling lamp. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
105A,las caras de la resistencia,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @RefugioResistencia — match its architecture, materials, colors; lush, detailed, painterly background. Characters: resistance (varied, not all white-haired). Shot/lens: montage of gaunt hopeful faces. Camera: slow pushes across faces. Light: low warm lamplight. Action: the camera moves over gaunt, hopeful faces lit by lamplight — varied people, not all white-haired — clinging to @Marek's words. Mood: fragile hope. Audio: SFX only — low voices, a crackling lamp. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
106,Marek: ¿una niña vació un planeta?,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @RefugioResistencia — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Marek, resistance. Shot/lens: medium, intercut with nodding faces. Camera: steady. Light: warm lamplight. Action: @Marek plants the doubt that holds them together; the people nod, given a different enemy. Dialogue (@Marek): ""Did a fourteen-year-old empty a whole planet? Or did someone need us to hate someone?"" Mood: quiet defiance. Audio: SFX only — his voice, low agreement. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
107,la figura encapuchada,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @RefugioResistencia — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @VeraEncapuchada (face hidden), @Marek. Shot/lens: medium on the hooded figure beside Marek. Camera: slow push that never reveals the face. Light: shadow under the hood, a wisp of white hair catching light. Action: beside @Marek stands a silent @VeraEncapuchada — strong woman's hands, a strand of white hair escaping the hood — face unseen. Mood: mystery. Audio: SFX only — low room tone. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
108,la encapuchada baja la cabeza,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @RefugioResistencia — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @VeraEncapuchada (face hidden). Shot/lens: close on the hood and hidden jaw. Camera: held, intimate, withholding. Light: shadow, only the chin and white hair lit. Action: the hooded figure watches @Marek and the people, then lowers her head — a private grief we can't read yet. Mood: withheld sorrow. Audio: SFX only — a soft breath, lamp crackle. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
109,establishing planeta chatarra,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaChatarra — match its architecture, materials, colors; lush, detailed, painterly background. A junk planet — endless dunes of dead ships and twisted metal under a bruised sky. Characters: @StellaPeloCorto (older, harder), crew. Shot/lens: wide establishing over the scrap dunes. Camera: slow sweep, the crew tiny among wrecks. Light: dusty, overcast. Action: Theron's crew, @StellaPeloCorto now older and harder among them, picks through a vast graveyard of dead ships on a scrap world. Mood: desolate, tense. Audio: SFX only — wind over metal, creaking wrecks. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
109A,la tripulación entre los restos,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaChatarra — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, crew. Shot/lens: crew clambering through towering dead hulls. Camera: slow sweep, tiny against the scrap. Light: dusty, overcast. Action: the crew clambers through towering dead hulls, salvaging, tiny against a sky of scrap, @StellaPeloCorto among them. Mood: desolate texture. Audio: SFX only — wind over metal, creaking wrecks. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
110,la emboscada,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaChatarra — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @CazadorRecompensas, crew. Shot/lens: sudden wide as bounty hunters spring the trap. Camera: fast whip into chaos. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: dust and energy flashes. Action: local @CazadorRecompensas erupt from the wrecks in an ambush; the crew scatters into chaos and dust. Mood: sudden danger. Audio: SFX only — shouts, energy fire, scrambling. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
111,Stella escondida / cruce de miradas,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaChatarra — match its architecture, materials, colors; lush, detailed, painterly background. A narrow crevice between wrecks. Characters: @StellaPeloCorto, @Vosk. Shot/lens: she hides; cut to @Vosk seeing her across the field. Camera: tense, still, then a snap between their eyes. Light: shadow over her, dust haze over him. Action: @StellaPeloCorto presses into a crevice, safe and unseen — until @Vosk spots her from across the scrap; their eyes meet and hold. Mood: dread, suspicion. Audio: SFX only — distant fight, her held breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
112,la piedra (la traición),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaChatarra — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vosk, @StellaPeloCorto. Shot/lens: insert of Vosk's hand taking a stone; he throws it. Camera: snap to the clang beside her. Light: dusty. Action: @Vosk's hand closes on a rock; he hurls it to clang against the metal right beside her hiding spot — a deliberate, ugly tell. Mood: betrayal. Audio: SFX only — a sharp metal clang. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
113,Vosk la delata,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaChatarra — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vosk, @StellaPeloCorto, @CazadorRecompensas. Shot/lens: Vosk shouting, hunters converging. Camera: whip to the swarm closing on her. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: dust, hard glare. Action: @Vosk points and bellows; @CazadorRecompensas swarm @StellaPeloCorto's position as she bursts up fighting. Dialogue (@Vosk): ""There! The one with the glowing hand! She's worth a fortune!"" Mood: trapped, furious. Audio: SFX only — his shout, rushing feet, a scuffle. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
114,el collar / Vosk también cae,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @PlanetaChatarra — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @CazadorRecompensas, @Vosk. Props: @CollarControl. Shot/lens: they clamp a collar on her; her suit dies; a net takes Vosk too. Camera: push to her face, then snap to Vosk netted. Light: dusty glare. Action: the hunters clamp a @CollarControl on @StellaPeloCorto and her suit goes dark; the last thing she sees is @Vosk smirking — until a net drops over him too, his grin collapsing. Mood: grim irony. Audio: SFX only — collar snap, power-down whine, Vosk's protest. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
115,establishing la fosa,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. A grimy betting-station: slave auctions above, a sunken combat pit ringed by roaring, gambling crowds below. Shot/lens: wide establishing of the pit and the mob. Camera: crane down into the arena. Light: harsh spot-glare over the pit, smoky stands. Action: the camera drops into a brutal betting-pit — cages, auction blocks, and a sunken arena ringed by a roaring crowd laying bets on blood. Mood: cruel, electric. Audio: SFX only — a roaring crowd, chains, a barker's call. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
115A,la multitud y las apuestas,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: crowd, bookies. Shot/lens: bookies taking frantic bets, the mob baying. Camera: quick whip-pans across the stands. Light: pit-glare, smoke. Action: bookies snatch frantic bets as the mob bays for blood, tokens flashing, faces lit by the pit-glare — the cruelty of the place laid bare. Mood: cruel, electric. Audio: SFX only — a roaring crowd, shouted odds. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
116,anuncian a la ladrona,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto (collar on), crowd. Props: @CollarControl. Shot/lens: @StellaPeloCorto alone in the pit, scanning for an exit. Camera: slow orbit, the crowd a blur above. Light: harsh spotlight on her. Action: a barker presents ""the Orb thief, the sector's most wanted""; the crowd roars; @StellaPeloCorto stands in the pit, collar on, eyes hunting for a way out that isn't there. Mood: cornered. Audio: SFX only — a barker over a roaring crowd. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
117,empujan a Noah,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Noah, @StellaPeloCorto. Shot/lens: the far gate opens; Noah shoved in. Camera: push to him, battered but unbowed. Light: harsh. Action: the opposite gate grinds open and @Noah is shoved into the pit — a battered human with a worn light-blade and eyes that refuse to quit. Mood: tension. Audio: SFX only — gate, shove, crowd swell. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
118,Stella se queda helada,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, @Noah. Shot/lens: close on her face, recognition. Camera: slow push, the crowd dropping out of focus. Light: spotlight. Action: @StellaPeloCorto freezes — @Noah looks uncannily like her own people, an echo she can't place (the exiled descendants); the noise of the pit falls away for a beat. Mood: uncanny, off-balance. Audio: SFX only — muffled crowd, her breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
119,"""I won't kill you for them""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @FosaApuestas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Noah, @StellaPeloCorto. Shot/lens: Noah raises his blade; she does not. Camera: steady standoff, crowd roaring for blood. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: harsh spot. Action: @Noah lifts his light-blade on guard; @StellaPeloCorto keeps her hands open and refuses, voice low and certain. Dialogue (@StellaPeloCorto): ""I won't kill you for them to clap."" Mood: defiance. Audio: SFX only — bloodthirsty crowd, her steady voice. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
