bloque,acto,secuencia,planos,n_planos,entra,sale,dur_seg,accion,dialogo
15,ACTO 1,SEC 3 — Laboratorio de @Naio,43-46,4,3:54,4:11,17,"En un moisés flotante duerme la bebé @Selka (1 año, ojos cerrados) / @Stella, la sonrisa completamente ida, la voz pequeña / Nadie le contesta / @Naio, la mandíbula tensa",…¿Todo está bien? | Póntelo. Rápido.
16,ACTO 1,SEC 3 — Laboratorio de @Naio,47-49,3,4:11,4:25,14,"@Stella obedece sin entender / @Naio se acerca, baja la voz, como quien confiesa algo prohibido dentro / @Naio, un beat, y luego lo imposible",Escúchame bien. El Rey no nos está protegiendo. | Se está comiendo el planeta desde adentro. Y está muriendo.
17,ACTO 1,SEC 3 — Laboratorio de @Naio,50-53,4,4:25,4:44,19,"La proyección lo confirma: el mismo descenso de la SEC 1, hasta el cor / @Stella mira la proyección, incapaz de creerlo / @Naio, sin rodeos / @Naio activa una máquina sobre la mano abierta de @Stella",…Eso no es posible. El Orbe le da vida a todo. Tú me lo enseñaste. | Por eso lo quiere.
18,ACTO 1,SEC 3 — Laboratorio de @Naio,54-57,4,4:44,5:00,16,"No le pone nada / @Stella aprieta los dientes, aguantando el dolor / @Naio, sosteniéndole la mano recién marcada / @Naio le cierra la mano de @Stella sobre la llave, con cuidado","El Orbe es nuestra sangre, @Stella. Solo nuestra familia puede tocarlo. | Lo que acabo de hacerte te permite integrarlo. Meterlo dentro de ti. Y una vez dentro…"
19,ACTO 1,SEC 3 — Laboratorio de @Naio,58-62,5,5:00,5:19,19,"@Naio la mira a los ojos, la carga de todo lo que viene / @Stella no alcanza a procesarlo / En el moisés, la bebé @Selka abre los ojos y empieza a llorar / @Stella, por puro instinto de hermana mayor, deja todo y va hacia la be / @Stella se inclina sobre el moisés",…solamente tú podrías usarlo. Nadie más.
20,ACTO 1,SEC 3 — Laboratorio de @Naio,63-66,4,5:19,5:37,18,"Una chispa de @Gix baja y baila en la palma de @Stella, como una luciérn / @Stella junta la frente a la de la bebé / @Selka se calma al instante, la manita agarrando el dedo de @Stella / Un suelo que vibra: pasos",
21,ACTO 1,SEC 3 — Laboratorio de @Naio,67-70,4,5:37,5:55,18,"@Naio y @Vera se cruzan una mirada / @Naio, rápido, firme, ya en marcha / @Naio agarra la cara de @Stella con las dos manos, cara a cara / @Naio, un beat, la voz firme sobre el miedo","Llegaron. Tomen a @Selka. Vayan por el Orbe. | Cuando lo tengas, ponlo en tu mano. Y pase lo que pase… nunca, nunca dejes que él lo tenga. ¿Me oyes? | Yo los retengo."
22,ACTO 1,SEC 3 — Laboratorio de @Naio,71-74,4,5:55,6:10,15,"@Stella, los ojos llenándose, negando / @Naio, sin dejarla terminar, todo el amor en tres frases / Un abrazo de los tres, demasiado corto / La puerta principal se abre","Papá, no— | Te quiero. Las tres. Ya."
23,ACTO 1,SEC 3 — Laboratorio de @Naio,75-78,4,6:10,6:29,19,"Entra @VORTHAN, el Rey / @Vorthan, casi con cariño, saboreando el momento / Los ojos de @Vorthan recorren la escena: el traje, el moisés vacío / @Vera y @Stella se deslizan hacia la salida trasera, despacio, sin corre",@Naio. Viejo amigo. | Sabías que este día llegaría.
24,ACTO 1,SEC 3 — Laboratorio de @Naio,79-84,6,6:29,6:47,18,"Los ojos del Rey lo ven todo / @Naio se interpone / El Rey mira a @Naio casi con pena / @Vorthan lo derriba de un solo golpe de luz, como quien aparta una rama / @Stella, grito ahogado, la mano estirada hacia su padre caído / @Vera la arranca de ahí de un tirón",No las dejen escapar. | ¡PAPÁ!
25,ACTO 1,SEC 4 — Pasillos del palacio,85-88,4,6:47,7:05,18,"@Vera y @Stella corren a toda velocidad por el pasillo / Detrás, lejos pero acercándose, el zumbido de los robots imperiales / @Vera habla entrecortado, sin dejar de correr / @Vera la mira un segundo mientras corren, la verdad más dura de su vida","Recuérdalo, @Stella: nada es más importante que ese Orbe. Nada. | Ni yo. Ni tu hermana. Sin él, el planeta entero muere. Todos. ¿Entiendes?"
26,ACTO 1,SEC 4 — Pasillos del palacio,89-93,5,7:05,7:23,18,"@Stella corriendo, los ojos llenos, tragándose todo / @Vera la mira de reojo / @Vera, firme entre jadeos / Una pared estalla en polvo y esquirlas / Polvo y escombros suspendidos un instante en el aire, atravesados por ","Entiendo. Tú solo cuida de @Selka. | Pase lo que pase, llega a la nave. La dejé afuera, en la salida que da al parque."
27,ACTO 1,SEC 4 — Pasillos del palacio,94-98,5,7:23,7:37,14,"@Vera pelea con un brazo cubriendo a la bebé, derribando un robot con u / @Stella se mueve con la agilidad de quien entrenó toda su vida para una / Un robot cae partido por la luz, chispas saltando, la carcasa humeando / Madre e hija se abren paso, espalda con espalda, avanzando entre el hu / Al fondo del corredor: las puertas inmensas de la SALA DEL ORBE, latie",
28,ACTO 1,SEC 5 — Muerte de @Vera,99-101,3,7:37,7:55,18,Una cámara inmensa / El Orbe late despacio / @Vera y @Stella entran por un lado,
29,ACTO 1,SEC 5 — Muerte de @Vera,102-106,5,7:55,8:12,17,"Se miran a través de la sala / @Vera, todo o nada / @Stella arranca hacia la esfera a toda velocidad / Los robots se cierran sobre @Vera, que pelea protegiendo a @Selka, sin p / Y entonces entra otro",¡Ve por el Orbe! ¡AHORA!
30,ACTO 1,SEC 5 — Muerte de @Vera,107-112,6,8:12,8:32,20,"@Vera lo ve / @Vera acomoda a la bebé en el hueco de un panel, lejos, a salvo, con ma / @Vera se planta frente a @S1G1 / Pelea de verdad / @S1G1 esquiva sin esfuerzo, frío, calculado / @S1G1 la neutraliza de un golpe seco",
31,ACTO 1,SEC 5 — Muerte de @Vera,113-117,5,8:32,8:50,18,"Aun cayendo, su último movimiento es cubrir a la bebé @Selka con el cue / @Vera en el suelo, girando la cabeza, gritando con la vida entera / @Stella a tres pasos del Orbe / Y no obedece / Se da media vuelta y corre hacia su madre con toda su fuerza","¡@STELLA, CORRE! ¡NO MIRES ATRÁS!"
32,ACTO 1,SEC 5 — Muerte de @Vera,118-123,6,8:50,9:10,20,"@Vera, con horror, gritando / Demasiado tarde / @Stella cuelga inmóvil, pataleando en el aire, sostenida solo por el pe / @Stella llora de rabia y de impotencia, retorciéndose / El Rey, sosteniéndola del pelo, ríe por lo bajo, suave, casi paternal / @Vorthan, un beat, la sentencia",¡NO! ¡NO TE ACERQUES! | Tan parecida a tu madre. Corriendo hacia lo que ama. | Por eso siempre pierden.
33,ACTO 1,SEC 5 — Muerte de @Vera,124-128,5,9:10,9:30,20,"En el suelo, @Vera junta lo último que le queda / Un escudo de luz se forma alrededor de @Stella, tejido por las manos de / Justo en ese instante, detrás de @Vera, @S1G1 le perfora el corazón con  / @Stella, un grito que se rompe en dos / @Vera la mira",¡MAMÁ!
34,ACTO 1,SEC 5 — Muerte de @Vera,129-133,5,9:30,9:50,20,"Los labios de @Vera se mueven una última vez, casi sin voz / @Stella, colgada del pelo, atrapada, ve morir a su madre a un metro de  / @Stella saca de su traje un cuchillo láser / Se lo lleva a la nuca / Cae libre al piso, rodando, el pelo corto ahora",Huye.
35,ACTO 1,SEC 5 — Muerte de @Vera,134-136,3,9:50,10:06,16,"La trenza cortada queda colgando de la mano de @Vorthan, un trofeo inút / El escudo de @Vera se apaga con ella / El pelo cortado de @Stella y la mano abierta de @Vera en el suelo, muy c",
36,ACTO 1,SEC 6 — Toma del Orbe / huida,137-143,7,10:06,10:24,18,"@Stella rueda, se levanta / Esquiva a un robot / Y toma el Orbe / En el segundo exacto del contacto, la llave de la palma se enciende / La muñequera del traje marca: MAX / Los propulsores del traje rugen / Antes de entrar, una fracción de segundo, @Stella mira hacia abajo",
37,ACTO 1,SEC 6 — Toma del Orbe / huida,144-149,6,10:24,10:42,18,"POV de @Stella: su madre tirada, quieta / @Stella aprieta los dientes, se traga el grito / @S1G1 dispara sus propulsores y la persigue dentro del túnel, ganando t / @S1G1 se atasca en el orificio del ducto / @S1G1 EXPLOTA / Escombros metálicos asentándose en el ducto humeante",
38,ACTO 1,SEC 6 — Toma del Orbe / huida,150-153,4,10:42,11:00,18,"ABAJO, en la sala: @Vera muerta en el piso / @VORTHAN se acerca, sin prisa, y levanta a @Selka en sus brazos / Dos robots se inclinan a recoger el cuerpo de @Vera / @Vorthan, frío, sin siquiera mirarla",¿Qué hacen? Ya está muerta.
39,ACTO 1,SEC 6 — Toma del Orbe / huida,154-156,3,11:00,11:16,16,"El Rey se da la vuelta con la bebé, dando la espalda al cuerpo / Los robots sueltan el cuerpo, que golpea el suelo, y salen / El Rey se va con la bebé en brazos, dejando a @Vera tirada en el suelo ",Salgan a buscar a @Stella. Necesitamos ese Orbe.
40,ACTO 1,SEC 7 — Cielo / naves aliadas,157-161,5,11:16,11:33,17,"@Stella sale disparada del palacio y cae sobre la nave que @Vera escondi / Manos temblando sobre los controles / Apenas despega, en el horizonte dorado, aparece una FLOTA IMPERIAL / Empieza la persecución / Hace chocar a dos perseguidores contra los edificios",
41,ACTO 1,SEC 7 — Cielo / naves aliadas,162-166,5,11:33,11:47,14,"@Stella pilotando, brillante y desesperada a la vez / Una nave imperial la encuadra en su punto de mira / La nave imperial estalla, reventada desde un costado por un disparo qu / Aparecen OTRAS NAVES / @Stella escucha la radio, sin entender",
42,ACTO 1,SEC 7 — Cielo / naves aliadas,167-170,4,11:47,12:05,18,"El altavoz de la radio crepita / Otra nave aliada se sacrifica al fondo, reventando contra un caza impe / @Stella, al borde del llanto, gritando a la radio / La radio, la voz firme sobre la estática",@Stella. Tu madre nos contó lo que pasaba. | Estamos aquí para protegerte. No dejes que nuestro sacrificio sea en vano. | ¿Quiénes son ustedes? ¡No los conozco! ¡No—! | No dejes que nadie consiga ese Orbe. Nadie.
43,ACTO 1,SEC 7 — Cielo / naves aliadas,171-174,4,12:05,12:22,17,"Naves aliadas abriéndole camino, una tras otra, hacia el negro del esp / @Stella escuchando, las lágrimas cayendo, sin poder responder / Una a una, las naves aliadas se interponen y revientan, flores de luz  / Tres naves aliadas caen sin estallar: forzadas, no destruidas",Ve lejos. Hazte fuerte. Y vuelve algún día a salvarnos. | Te vamos a estar esperando.
44,ACTO 1,SEC 7 — Cielo / naves aliadas,175-176,2,12:22,12:34,12,"@Stella lo ve todo en el retrovisor: a los que mueren, y a los tres que / Y sale",
45,ACTO 1,SEC 8 — Clímax silencioso / híper-salto,177-178,2,12:34,12:51,17,"El silencio del espacio / Erdia, dorada y enferma, se encoge lentamente detrás de la nave",
46,ACTO 1,SEC 8 — Clímax silencioso / híper-salto,179-181,3,12:51,13:06,15,Un panel de la cabina / Luego otra alarma / @Stella respira cada vez más despacio,
47,ACTO 1,SEC 8 — Clímax silencioso / híper-salto,182-183,2,13:06,13:22,16,"Su cara / Una lágrima se desprende de su mejilla y flota, suspendida, en la grav",
48,ACTO 1,SEC 8 — Clímax silencioso / híper-salto,184-187,4,13:22,13:42,20,"La lágrima flotante atrapa la luz de las estrellas, girando despacio / @Stella baja la mirada / La llave de luz en su palma / Los ojos de @Stella, vidriosos, mirando el Orbe",
49,ACTO 1,SEC 8 — Clímax silencioso / híper-salto,188-192,5,13:42,14:02,20,"En un acto de pura desesperación, sin saber lo que hace, @Stella pone l / La energía del Orbe empieza a fluir hacia la nave / Un panel se enciende / @Stella observa, la cara iluminada por los paneles que despiertan, sin  / La carga sube",
50,ACTO 1,SEC 8 — Clímax silencioso / híper-salto,193-197,5,14:02,14:20,18,"Todo el sistema empieza a temblar, a sobrecargarse, a colapsar / @Stella se aferra al asiento, los ojos muy abiertos, el rugido creciend / La nave da un HÍPER SALTO / Un estallido de luz blanca se traga la pantalla / Blanco total",
51,ACTO 1,SEC 9 — Balcón real / discurso,198-200,3,14:20,14:37,17,"Bajo un cielo todavía azul, una plaza inmensa repleta de gente / @Vorthan habla con voz de luto, perfecta, medida / @Vorthan deja caer la palabra, saboreando el silencio de la plaza","Hoy nos han robado. | El Orbe —el corazón de Erdia, la fuente de todo lo que somos— ha sido arrancado de nuestro mundo."
52,ACTO 1,SEC 9 — Balcón real / discurso,201-203,3,14:37,14:52,15,"Murmullo de horror recorriendo la plaza / @Vorthan, la condena creciendo / Detrás de él, exhibidos en jaulas, los TRES PILOTOS que salvaron a Ste","Sin él, la luz se irá. El agua se irá. Y nuestro planeta… empezará a morir."
53,ACTO 1,SEC 9 — Balcón real / discurso,204-206,3,14:52,15:08,16,"Uno de los pilotos alza apenas la mirada hacia el cielo, hacia donde s / @Vorthan, girando el cuchillo / @Vorthan, un beat, envenenando el recuerdo",¿Y quién nos ha condenado a esto? Una de los nuestros. | Una niña a la que le dimos todo. Que prefirió quedarse con la luz de todos antes que dejarla correr.
54,ACTO 1,SEC 9 — Balcón real / discurso,207-209,3,15:08,15:24,16,"@Vorthan, la palabra final como una sentencia / La multitud, que esa mañana la habría amado, empieza a gritar su nombr / @Vorthan sostiene a la bebé @Selka en brazos, frente a todos",@Stella. Ladrona. Traidora.
55,ACTO 1,SEC 9 — Balcón real / discurso,210-212,3,15:24,15:42,18,"Muy despacio, casi sin que se note, el Rey le acaricia la cabeza a la  / La manita de @Selka se cierra sobre el dedo de @Vorthan, confiada / CORTE A NEGRO",
56,ACTO 2,SEC 10 — Bahía de @Theron,1-2,2,15:42,15:56,14,"La bahía de carga inmensa y oscura en penumbra; brazos mecánicos cuelg / Una gota metálica se forma en un conducto, cuelga, cae",
57,ACTO 2,SEC 10 — Bahía de @Theron,3-5,3,15:56,16:10,14,"La nave de @Vera, destrozada, enganchada por garras mecánicas como un a / El rostro de @Stella en el suelo, ojos cerrados / @Stella despierta de golpe, se incorpora sobre un codo, desorientada, r",
58,ACTO 2,SEC 10 — Bahía de @Theron,6-8,3,16:10,16:25,15,"Antes que nada, se mira la palma de la mano: la llave de luz sigue gra / Los ojos de @Stella se cierran de alivio / Una sombra colosal se desplaza en la penumbra al fondo",
59,ACTO 2,SEC 10 — Bahía de @Theron,9-12,4,16:25,16:43,18,"@Stella se pone en guardia, retrocediendo, la espalda contra su nave ro / @Stella, voz rota, tragando el miedo / @THERON emerge de la sombra: alto, de otra especie, ojos que no parpade / @Theron, inmóvil, sin acercarse aún",¿Dónde estoy? ¿Quién eres? | ¿Me… me salvaste? | No te salvé. Te recogí.
60,ACTO 2,SEC 10 — Bahía de @Theron,13-16,4,16:43,17:01,18,"Los ojos sin parpadeo de @Theron / @Theron avanza despacio hacia @Stella, la vista fija en la mano de ella / POV de @Theron sobre la palma de @Stella: el brillo del Orbe pulsa bajo  / @Theron estudia el brillo, casi hambriento","Hay una diferencia. | Eso que llevas dentro brilla. Como nada que haya visto en mucho, mucho tiempo."
61,ACTO 2,SEC 10 — Bahía de @Theron,17-19,3,17:01,17:17,16,"@Theron levanta los ojos hasta los de ella / @Stella cierra el puño, escondiendo la mano contra el pecho / El puño cerrado de @Stella, un hilo de luz escapando entre los dedos",Y lo que brilla así… se puede seguir.
62,ACTO 2,SEC 11 — Pasillos y taller,20-23,4,17:17,17:33,16,"Pasillos industriales de la nave nodriza / Un tripulante empuja a @Stella al pasar; otro la ignora deliberadamente / Un plato de comida cae al piso metálico, la comida se derrama y rueda / @Stella mira la comida en el suelo, sin recogerla",
63,ACTO 2,SEC 11 — Pasillos y taller,24-28,5,17:33,17:48,15,"@VOSK, enorme, cicatrices, bloquea el paso / El dedo grueso de @Vosk empuja el hombro de @Stella / @Stella sostiene la mirada un instante, decidiendo / La mano de @Stella aparta de un golpe seco la de @Vosk / @Vosk sonríe: era lo que quería",La mascota del jefe. El cebo que respira. | ¿Sabes qué le pasa al cebo cuando el pez ya picó?
64,ACTO 2,SEC 11 — Pasillos y taller,29-33,5,17:48,18:03,15,"Chocan / El puño de @Vosk impacta la pared junto a la cabeza de @Stella; salta me / @Vosk la estampa contra la pared, antebrazo en su cuello / Una mano de piedra del tamaño de un yunque cae sobre el hombro de @Vosk / @BROG, gigante de roca, aparta a @Vosk sin esfuerzo",
65,ACTO 2,SEC 11 — Pasillos y taller,34-37,4,18:03,18:20,17,"@Vosk escupe al piso y se retira, humillado / El taller: banco lleno de piezas, chispas de soldadura flotando en el  / @NIMA, mecánica de cuatro brazos, las cuatro manos ocupadas, sin levant / @Nima al fin levanta la mirada hacia @Stella","No le hagas caso a @Vosk. Ladra para no pensar. | Hay dos formas de romperse, niña. La que llora… y la que arregla cosas a las tres de la mañana."
66,ACTO 2,SEC 11 — Pasillos y taller,38-40,3,18:20,18:37,17,"Las cuatro manos vuelven al trabajo, ajustando, soldando / @Stella se deja caer al piso, agotada, sosteniéndose la mano herida / @Brog se sienta a su lado, montaña junto a niña",Adivina cuál soy yo.
67,ACTO 2,SEC 11 — Pasillos y taller,41-43,3,18:37,18:52,15,"La mano herida de @Stella, temblando levemente, junto a la mano de pied / @Theron entra al taller / @Stella se yergue, urgente","Quiero volver a mi planeta. Mi familia está allá. Mi padre, mi hermana—"
68,ACTO 2,SEC 11 — Pasillos y taller,44-46,3,18:52,19:08,16,"@Theron, sin inmutarse / @Theron la mira, midiendo cómo dar la noticia / La cara de @Stella entendiendo lentamente el tamaño de eso","Tu planeta ya no es tu problema más urgente. | Aquí, el tiempo no corre igual que en tu mundo. Un año tuyo… son cuatro allá."
69,ACTO 2,SEC 11 — Pasillos y taller,47-49,3,19:08,19:24,16,"@Stella, un hilo de voz / @Theron ya de espaldas, saliendo / La palma de @Stella abierta: el Orbe late","…Cuatro. | Cada día que pierdas aquí, pierdes cuatro allá. Así que no los pierdas."
70,ACTO 2,SEC 12 — Refugio · Año 8,50-52,3,19:24,19:44,20,"RÓTULO sobre negro: ERDIA · AÑO 8 / Erdia ya no dorada: niebla, andamios, ríos de luzagua finos y opacos / El humo sube contra un cielo apagado",
71,ACTO 2,SEC 12 — Refugio · Año 8,53-55,3,19:44,20:01,17,"Un hilo de luzagua opaca corre entre escombros, casi sin brillo, murié / Interior del refugio: naieli demacrados reunidos alrededor de una luz / @MAREK, voz cálida y firme, dirigiéndose a los suyos",El Rey dice que estamos así por culpa de @Stella. Por una ladrona.
72,ACTO 2,SEC 12 — Refugio · Año 8,56-58,3,20:01,20:16,15,"@Marek recorre las caras de su gente / @Marek, la pregunta que desplaza el odio / Los rostros del refugio asienten, murmullo bajo",Pero yo les pregunto: ¿una niña de catorce años vació un planeta entero? | ¿O alguien necesitaba que odiáramos a alguien para no mirarlo a él?
73,ACTO 2,SEC 12 — Refugio · Año 8,59-61,3,20:16,20:35,19,"A un lado, quieta, una FIGURA ENCAPUCHADA / Un mechón de pelo blanco escapa de la capucha y cuelga en la penumbra / La figura baja la cabeza, sombra sobre el rostro",
74,ACTO 2,SEC 13 — Planeta chatarra · Año 2,62-64,3,20:35,20:52,17,Rótulo tenue: @STELLA · ~AÑO 2 / Planeta-chatarra: montañas de metal muerto bajo un cielo enfermo / Polvo metálico flota en un rayo de luz oblicua,
75,ACTO 2,SEC 13 — Planeta chatarra · Año 2,65-69,5,20:52,21:12,20,"@Stella, ya mayor y más dura, avanza entre escombros con el grupo / Algo sale mal: cazarrecompensas locales emboscan / @Stella se lanza a una grieta entre chapas, fuera de la vista enemiga / @Stella pegada al metal, agachada, a salvo / A lo lejos, @VOSK la mira desde su escondite",
76,ACTO 2,SEC 13 — Planeta chatarra · Año 2,70-76,7,21:12,21:31,19,"El rostro de @Vosk, decidiendo algo feo / La mano de @Vosk levanta una piedra del suelo / La piedra golpea el metal justo al lado de @Stella: un CLANG seco que l / @Vosk grita a los cazadores, señalando la grieta / Los ojos de @Stella se abren: traición / Los cazadores caen sobre la grieta / Un collar de contención se cierra en el cuello de @Stella; el traje se ",¡AHÍ! ¡La de la mano que brilla! ¡Esa vale una fortuna!
77,ACTO 2,SEC 13 — Planeta chatarra · Año 2,77-80,4,21:31,21:46,15,"POV de @Stella arrastrada: lo último que ve es a @Vosk, sonriendo, conta / Una red cae sobre @Vosk desde el flanco: los cazadores no hacen distinc / @Vosk forcejea en la red, gritando / Se los llevan a los dos hacia la nave esclavista","¡No, no, esperen, yo se las entregué! ¡YO—!"
78,ACTO 2,SEC 14 — La Fosa,81-83,3,21:46,22:02,16,"Estación-mercado en el confín de la galaxia: subastas, luces sucias, g / El pozo de combate rodeado de gradas rugientes / Un presentador anuncia a la 'ladrona del Orbe, la criminal más buscada",
79,ACTO 2,SEC 14 — La Fosa,84-87,4,22:02,22:18,16,"@Stella en el centro del pozo, collar aún puesto, girando, buscando una / El collar de contención en su cuello, luz roja parpadeando / Una reja se abre en el lado opuesto / @NOAH: humano joven, magullado, una vieja espada y un arma de luz",
80,ACTO 2,SEC 14 — La Fosa,88-91,4,22:18,22:35,17,"@Stella se queda helada: ese chico se parece a ella / La multitud exige sangre, puños en alto, un rugido animal alrededor de / @Noah levanta la espada, en guardia / @Stella, firme, contra el rugido",No voy a matarte para que ellos aplaudan.
81,ACTO 2,SEC 14 — La Fosa,92-95,4,22:35,22:52,17,"@Noah la mide, sin bajar el arma, desconfiado / @Stella sostiene su mirada, tranquila / @Noah, decidiendo / @Noah baja apenas el arma; algo cede en él",…¿Es una trampa? | Es una oferta. | Entonces vas a tener que ayudarme a salir de aquí.
82,ACTO 2,SEC 14 — La Fosa,96-99,4,22:52,23:01,9,"Los dos se giran a la vez hacia los guardias, dando la espalda al públ / @Stella arranca el collar de un tirón / El Orbe se reenciende en su palma con un fogonazo blanco / La fosa se convierte en fuga: los dos cargan contra los guardias",
83,ACTO 2,SEC 15 — La Fosa · Fuga,100-105,6,23:01,23:18,17,"@Stella y @Noah pelean espalda con espalda, moviéndose como un solo cuer / La hoja de luz de @Noah desvía un golpe; la palma de @Stella empuja a un / La pared exterior estalla: @BROG entra a puñetazos, @NIMA detrás / @Brog arranca una reja entera y la usa de escudo / Sobre la fosa, una plataforma de ejecución: van a ajusticiar a un pris / Es @VOSK",
84,ACTO 2,SEC 15 — La Fosa · Fuga,106-111,6,23:18,23:34,16,"@Stella lo ve / @Noah le grita, tironeando / @Stella mira a @Vosk, luego a la salida / @Stella corre hacia la plataforma, contra la corriente de la fuga / Su palma revienta la base de la plataforma; desvía el arma en el insta / @Stella carga a @Vosk, tirando de él fuera del filo de luz","¡@Stella, vámonos!"
85,ACTO 2,SEC 15 — La Fosa · Fuga,112-115,4,23:34,23:51,17,"@Vosk, aturdido, el cuello aún marcado, sin entender / @Stella lo mira, sin rencor / Lo suelta de un empujón hacia la salida / El matón la mira distinto",…Yo te entregué. Te vendí. ¿Por qué—? | Porque yo no soy tú.
86,ACTO 2,SEC 15 — La Fosa · Fuga,116-118,3,23:51,24:08,17,"Todos escapan juntos —@Stella, @Noah, @Brog, @Nima, @Vosk— mientras la esta / Más tarde, en la nave / @THERON observa a @Stella desde lejos",
87,ACTO 2,SEC 15 — La Fosa · Fuga,119-120,2,24:08,24:20,12,"@Noah, vendándose una herida, no le quita los ojos a @Stella / @Stella mira por la ventanilla hacia donde queda Erdia",
88,ACTO 2,SEC 16 — Montaje años · Año 3,121-123,3,24:20,24:38,18,Rótulo tenue: @STELLA · ~AÑO 3 / PLANETA DE LOS COMETAS: el cielo entero cruzado de estelas lentas de l / Un cometa lejano deja su rastro y se apaga tras el horizonte,
89,ACTO 2,SEC 16 — Montaje años · Año 3,124-126,3,24:38,24:53,15,"@Brog y @Stella sentados de espaldas a nosotros, frente al cielo de come / @Brog pronuncia una palabra gutural de su idioma muerto / @Stella repite la palabra, torpe primero, luego más limpia",(idioma de @Brog) …krun-tha. | …krun-tha.
90,ACTO 2,SEC 16 — Montaje años · Año 3,127-130,4,24:53,25:13,20,"@Brog asiente despacio / La mano de piedra de @Brog y la mano de @Stella dibujando la misma seña  / Match cut: del cielo de cometas a las chispas de soldadura del taller  / El taller: un traje nuevo colgado, ligero, hecho a medida",
